time,r00,r01,r02,r10,r11,r12,r20,r21,r22,t0,t1,t2,pitch,yaw,roll,fx,ox,fy,oy
1285,0.030405926,0.99952954,0.004047619,-0.9515292,0.027705347,0.30630785,0.30605158,-0.013165005,0.9519239,0.00024570132,0.0031162216,0.0035017899,-0.31131202,0.004252015,-1.5416878,1506.6393,976.2841,1506.6393,724.17316
1351,0.03011063,0.9995295,0.005859595,-0.9525515,0.026918054,0.3031848,0.30288437,-0.014710656,0.95291376,-0.00037406012,0.0032747416,0.0035148056,-0.308033,0.006149057,-1.542545,1506.6483,976.3609,1506.6483,724.1652
1387,0.02991776,0.9995258,0.0073020263,-0.95346385,0.026344806,0.30035415,0.3000193,-0.015948135,0.9537999,-0.000719206,0.003462703,0.0033619711,-0.30506393,0.0076555717,-1.5431727,1506.6572,976.37396,1506.6572,724.17834
1420,0.029795585,0.9995216,0.008299489,-0.954195,0.025969515,0.29805595,0.2976978,-0.016800081,0.9545124,-0.001006389,0.0036537182,0.003110906,-0.30265537,0.008694784,-1.5435869,1506.6707,976.3492,1506.6707,724.1462
1453,0.02983973,0.9995153,0.00888245,-0.95477796,0.02587195,0.29619202,0.29581863,-0.01731906,0.95508707,-0.0013215858,0.0038434966,0.0027752474,-0.3007033,0.009299879,-1.5437056,1506.6886,976.3663,1506.6886,724.1678
1490,0.030059384,0.999506,0.009179363,-0.95524365,0.026021983,0.29467332,0.29428884,-0.017626226,0.95555395,-0.0016964602,0.004035543,0.0023570117,-0.29911363,0.009606031,-1.5435618,1506.711,976.35504,1506.711,724.15454
1523,0.02840459,0.9995679,0.007564719,-0.9546839,0.024884623,0.2965793,0.29626286,-0.015646128,0.9549783,-0.00313963,0.0041720793,0.0022795158,-0.3011088,0.007921186,-1.5447364,1506.6796,976.35236,1506.6796,724.0649
1558,0.028843362,0.99955726,0.007312455,-0.9549764,0.025394466,0.295593,0.29527643,-0.015509116,0.955286,-0.0039572846,0.004336398,0.0018317904,-0.3000762,0.007654579,-1.5442109,1506.6752,976.34174,1506.6752,724.10223
1591,0.029138856,0.9995515,0.006910633,-0.95528376,0.025811851,0.2945614,0.29425088,-0.015184801,0.95560753,-0.004601922,0.0045079086,0.0012505422,-0.2989965,0.007231538,-1.5437828,1506.6886,976.2944,1506.6886,724.0735
1625,0.029347874,0.9995463,0.0067947973,-0.955609,0.026062768,0.2934827,0.29317245,-0.015106269,0.9559403,-0.005215669,0.0046831947,0.00058163377,-0.29786792,0.0071078525,-1.5435296,1506.6168,976.33234,1506.6168,724.0895
