time,r00,r01,r02,r10,r11,r12,r20,r21,r22,t0,t1,t2,pitch,yaw,roll,fx,ox,fy,oy
2074,0.004399499,0.9991818,-0.040205188,-0.9779499,0.012693769,0.20845297,0.20879278,0.038401563,0.97720563,0.010097291,-0.01059065,-0.17652197,-0.20999292,-0.041119825,-1.5578171,1505.0192,976.6201,1505.0192,724.26056
2107,0.0044652843,0.9991046,-0.042071216,-0.9785087,0.013038921,0.20579213,0.20615643,0.040248126,0.9776908,0.012177605,-0.01104745,-0.18365915,-0.2072731,-0.043004677,-1.5574719,1505.0103,976.67645,1505.0103,724.2658
2141,0.004799789,0.99898994,-0.044678118,-0.97892034,0.013816821,0.20377432,0.20418578,0.04275825,0.9779979,0.014542356,-0.011647463,-0.1910551,-0.2052116,-0.045651507,-1.556683,1505.0146,976.6318,1505.0146,724.28955
2174,0.005123042,0.99887055,-0.04723833,-0.9795558,0.014512983,0.20064808,0.20110704,0.04524466,0.9785238,0.019796306,-0.013101679,-0.20684516,-0.20201941,-0.048237648,-1.5559815,1505.0236,976.5956,1505.0236,724.2669
2208,0.0034082162,0.99886084,-0.047597002,-0.9793374,0.012958452,0.20181726,0.20220412,0.0459257,0.97826594,0.024643894,-0.013360171,-0.23652405,-0.203213,-0.048616122,-1.5575652,1505.0955,976.5903,1505.0955,724.30786
2241,0.003501727,0.99891794,-0.04637579,-0.9795287,0.012760695,0.20089887,0.20127326,0.044722922,0.97851366,0.030819748,-0.014794482,-0.25670835,-0.20227541,-0.047358677,-1.5577697,1504.9967,976.6659,1504.9967,724.29407
2287,0.0024091026,0.9989505,-0.04574211,-0.97963446,0.011541478,0.20045693,0.20077445,0.04432762,0.97863406,0.03423758,-0.015606535,-0.26669613,-0.20182429,-0.046706777,-1.5590155,1505.0327,976.64276,1505.0327,724.2624
2322,-0.0007202541,0.99912226,-0.041882563,-0.97963095,0.0077052475,0.20065787,0.20080447,0.041173983,0.97876567,0.043847848,-0.017488217,-0.3070457,-0.2020294,-0.04276512,-1.5629311,1505.0999,976.6142,1505.0999,724.2067
2356,-0.008398801,0.9991932,-0.039274804,-0.97991216,-0.00039788242,0.19942887,0.19925235,0.040160824,0.9791249,0.05213775,-0.018667877,-0.32943773,-0.20077504,-0.040090658,-1.5712024,1505.0461,976.62695,1505.0461,724.2186
2391,-0.016212428,0.9990423,-0.04064328,-0.9805113,-0.007925681,0.1963026,0.19579244,0.043033738,0.97970074,0.0608932,-0.019002628,-0.3520473,-0.19758572,-0.041461628,-1.5788794,1505.0461,976.60876,1505.0461,724.2072
2425,-0.023668598,0.9986544,-0.046141353,-0.9823148,-0.014656934,0.18666124,0.18573378,0.04974335,0.98134005,0.070453554,-0.016901713,-0.3830431,-0.18776256,-0.046984117,-1.585716,1504.9204,976.68317,1504.9204,724.2216
2458,-0.03086386,0.9985836,-0.043339532,-0.9833112,-0.02255677,0.18052724,0.17929395,0.04818803,0.98261476,0.07966672,-0.015291961,-0.40843335,-0.18152247,-0.044077765,-1.5937319,1505.082,976.6714,1505.082,724.1973
2494,-0.03226216,0.9986276,-0.04125614,-0.98319036,-0.024287455,0.18096043,0.17971008,0.04640084,0.98262465,0.08412224,-0.014117274,-0.42125618,-0.18196292,-0.04196101,-1.595494,1505.1852,976.66895,1505.1852,724.1779
2527,-0.028475132,0.9981463,-0.0537883,-0.98314065,-0.018242722,0.18193841,0.18061991,0.05806218,0.98183763,0.09260824,-0.007450266,-0.46417376,-0.18295741,-0.05472859,-1.5893497,1504.9563,976.76636,1504.9563,724.1629
2561,-0.022255208,0.9985124,-0.04977769,-0.9841607,-0.013121937,0.17679176,0.17587557,0.052923795,0.9829887,0.0999265,-0.0035668188,-0.4902922,-0.17772591,-0.05059591,-1.5841286,1505.082,976.8184,1505.082,724.0744
2594,-0.0123942755,0.99885964,-0.04610755,-0.98448575,-0.0041187014,0.17541565,0.1750257,0.047566373,0.9834141,0.106830895,-0.00024960376,-0.51636654,-0.17632794,-0.04685087,-1.5749799,1505.0415,976.8073,1505.0415,724.137
2630,-0.006749168,0.99816746,-0.060135342,-0.9837193,0.004172469,0.17966318,0.17958485,0.060368877,0.9818884,0.11011563,0.001972799,-0.5455061,-0.18064405,-0.061168175,-1.5665548,1504.9474,976.888,1504.9474,724.01685
