time,r00,r01,r02,r10,r11,r12,r20,r21,r22,t0,t1,t2,pitch,yaw,roll,fx,ox,fy,oy
2547,-0.010037274,0.99971586,-0.021623798,-0.9985133,-0.008861866,0.053783588,0.053576674,0.02213149,0.9983185,-0.025904508,-0.022933248,-0.5723646,-0.053809553,-0.021656834,-1.5796711,1503.9017,977.0211,1503.9017,723.6597
2603,-0.0058824867,0.99973756,-0.022145303,-0.9982578,-0.0045707365,0.058825217,0.05870855,0.022452762,0.9980227,-0.026187213,-0.022473866,-0.583461,-0.058859196,-0.022185538,-1.575375,1503.9691,977.0504,1503.9691,723.6615
2637,-0.002046576,0.99972236,-0.023468686,-0.997884,-0.00051653944,0.06501639,0.06498622,0.023552088,0.99760807,-0.026076818,-0.022486659,-0.5963423,-0.065062284,-0.023520619,-1.571314,1504.0183,977.09973,1504.0183,723.6678
2669,0.0009701483,0.9996617,-0.025992412,-0.99750143,0.0028034782,0.07059001,0.070639,0.025858993,0.9971667,-0.025687162,-0.022804325,-0.6096848,-0.07064877,-0.026060365,-1.5679859,1503.9509,977.10004,1503.9509,723.63367
2702,0.0034266212,0.99958587,-0.028572582,-0.9972022,0.005549277,0.07454507,0.07467275,0.028237203,0.9968083,-0.025081545,-0.023394186,-0.62314177,-0.07461429,-0.028656222,-1.5652316,1503.8972,977.11194,1503.8972,723.6092
2734,0.0054388586,0.9995306,-0.030148486,-0.9970091,0.0077445097,0.076895505,0.077092886,0.02964009,0.9965832,-0.02431554,-0.024287058,-0.63663816,-0.076971486,-0.030242626,-1.5630287,1503.8882,977.13727,1503.8882,723.5872
2764,0.006422188,0.9994806,-0.031579085,-0.9970695,0.008807705,0.0759921,0.076230764,0.030998508,0.99660826,-0.024264587,-0.02398687,-0.64090776,-0.07606543,-0.031675957,-1.561963,1503.9241,977.0732,1503.9241,723.71484
2795,0.0076652826,0.9995027,-0.030588413,-0.9970221,0.009986419,0.07646678,0.076734215,0.029911183,0.99660283,-0.023588784,-0.025112728,-0.6513749,-0.07654149,-0.030683048,-1.5607804,1504.0004,977.04816,1504.0004,723.70325
2827,0.007733956,0.9994985,-0.030708386,-0.997041,0.010056438,0.07621119,0.07648178,0.030028105,0.99661875,-0.022619564,-0.02702815,-0.66378146,-0.07628516,-0.030802825,-1.5607104,1503.9465,977.0253,1503.9465,723.6898
2858,0.006149073,0.9994298,-0.03320296,-0.9971217,0.008637278,0.07532392,0.07556774,0.032644227,0.9966062,-0.021455977,-0.02951188,-0.6767667,-0.07539532,-0.03330371,-1.5621344,1503.8792,977.0443,1503.8792,723.704
2896,0.0031553993,0.9993205,-0.036723338,-0.99724674,0.0058653736,0.07392237,0.07408753,0.036388975,0.99658763,-0.020149235,-0.032459326,-0.6900564,-0.07398987,-0.036832415,-1.5649148,1503.8164,977.02216,1503.8164,723.7038
2928,0.0007165425,0.99912703,-0.041769713,-0.9974664,0.0036854162,0.071043625,0.07113554,0.04161298,0.9965983,-0.02259193,-0.03443558,-0.74529666,-0.07110352,-0.04188777,-1.5671016,1503.8479,976.9715,1503.8479,723.76086
2960,-0.0012715539,0.99908686,-0.0427037,-0.9975457,0.0017222125,0.06999566,0.07000529,0.042687897,0.99663275,-0.02258531,-0.037580788,-0.773145,-0.07005294,-0.042821787,-1.5690699,1503.8927,977.0029,1503.8927,723.7726
2992,-0.0027516654,0.9991762,-0.04048952,-0.9975516,8.671147e-05,0.06993337,0.06987926,0.04058282,0.9967296,-0.021716967,-0.04118864,-0.79249245,-0.0699905,-0.04060005,-1.5707093,1503.996,976.89453,1503.996,723.7891
3023,-0.003973054,0.9993293,-0.036403727,-0.9975099,-0.001397175,0.07051264,0.070414476,0.036593232,0.99684644,-0.020467142,-0.04496377,-0.8093392,-0.0705712,-0.03650267,-1.572197,1504.0632,976.87744,1504.0632,723.87646
