time,r00,r01,r02,r10,r11,r12,r20,r21,r22,t0,t1,t2,pitch,yaw,roll,fx,ox,fy,oy
2814,-0.0026290428,0.9999374,-0.010868605,-0.99400204,-0.0014248698,0.10935111,0.109328784,0.011090909,0.99394363,-0.07723367,0.0070237345,-0.65716237,-0.10957023,-0.010934395,-1.5722297,1507.3035,977.13367,1507.3035,723.42334
2860,-0.003413604,0.9999092,-0.013035295,-0.9949521,-0.002088746,0.10032898,0.10029265,0.013311974,0.9948689,-0.07777591,0.0020494265,-0.6870684,-0.100498065,-0.013101775,-1.5728956,1507.3258,977.04834,1507.3258,723.4081
2890,-0.0029784732,0.9999305,-0.0114068035,-0.99542725,-0.0018755897,0.09550382,0.095475785,0.011639112,0.99536365,-0.078397416,-0.002603976,-0.71764046,-0.0956496,-0.011459434,-1.5726805,1507.447,976.9863,1507.447,723.3777
2915,-0.0054623866,0.99990606,-0.012570092,-0.99586266,-0.004299217,0.09076888,0.0907063,0.01301391,0.99579257,-0.07548555,-0.0024886518,-0.743236,-0.090893984,-0.012622533,-1.5751134,1507.869,976.9589,1507.869,723.3966
2943,-0.009788206,0.99971044,-0.021986607,-0.9965096,-0.00792925,0.083100006,0.08290159,0.02272327,0.9962987,-0.07364831,-0.0032820033,-0.7714593,-0.08319595,-0.022064708,-1.5787532,1507.676,976.83307,1507.676,723.41223
2977,-0.013462785,0.9995214,-0.027854098,-0.99660724,-0.011151099,0.08154467,0.08119503,0.028857406,0.9962804,-0.07256197,-0.003197006,-0.8027614,-0.08163531,-0.02795081,-1.5819849,1507.9229,976.68427,1507.9229,723.4947
3011,-0.019754825,0.9995543,-0.022384908,-0.99621075,-0.017782178,0.08513408,0.08469808,0.023981916,0.99611807,-0.07126019,0.0038295267,-0.8247859,-0.08523726,-0.022468362,-1.5886443,1507.887,976.76385,1507.887,723.47363
3044,-0.023120807,0.9996056,-0.015942054,-0.99564314,-0.021582443,0.09071284,0.090332985,0.017969955,0.9957495,-0.07065193,0.009135183,-0.8550798,-0.09083771,-0.016008738,-1.5924698,1507.5189,976.7587,1507.5189,723.5197
3078,-0.025906337,0.99950033,-0.0181109,-0.9958463,-0.024221245,0.08776996,0.087287426,0.020309469,0.99597615,-0.07089586,0.015787505,-0.88406783,-0.08788305,-0.018182065,-1.5951138,1507.106,976.84827,1507.106,723.4966
3112,-0.028709412,0.9994447,-0.016909791,-0.9962109,-0.027218973,0.08260123,0.082095094,0.01921717,0.9964393,-0.07892487,0.024456099,-0.96345,-0.08269545,-0.01696859,-1.598112,1507.2092,976.9987,1507.2092,723.4514
