time,r00,r01,r02,r10,r11,r12,r20,r21,r22,t0,t1,t2,pitch,yaw,roll,fx,ox,fy,oy
2162,0.024380289,0.99919194,0.03195265,-0.9913944,0.020053165,0.12936403,0.12861873,-0.034831617,0.99108213,0.02010499,-0.024346301,0.0015870035,-0.12972759,0.032229,-1.5505718,1505.055,976.787,1505.055,722.9875
2196,0.024950061,0.99907655,0.03497914,-0.99135077,0.02021713,0.12967183,0.12884489,-0.037911918,0.99093974,0.021857657,-0.025120206,0.00078710844,-0.13003801,0.035284307,-1.5504056,1505.1448,976.8262,1505.1448,722.9719
2229,0.02373591,0.99908125,0.035683185,-0.9911213,0.01884594,0.13161798,0.13082455,-0.03849044,0.99065804,0.021293614,-0.024831641,-0.0004962473,-0.13200098,0.036004115,-1.5517838,1505.1224,976.8544,1505.1224,723.0238
2262,0.02619332,0.9990125,0.035889804,-0.9912095,0.021297738,0.13057645,0.12968312,-0.03899454,0.9907884,0.022686508,-0.025150975,-0.0010437155,-0.13095038,0.03620765,-1.5493131,1505.0461,976.81213,1505.0461,723.0161
2295,0.02618891,0.99894917,0.037612535,-0.9915539,0.021177294,0.12795417,0.12702318,-0.040645838,0.9910666,0.024631813,-0.02554851,-0.0015749196,-0.12830591,0.03793337,-1.5494419,1505.0955,976.85645,1505.0955,722.9793
2329,0.02329485,0.99902606,0.037472233,-0.99168485,0.018345974,0.12737548,0.12656397,-0.040127844,0.9911464,0.023833659,-0.025245307,-0.001731981,-0.12772246,0.037788965,-1.5522987,1505.082,976.8216,1505.082,723.0938
2362,0.024670033,0.99888754,0.0401858,-0.9915077,0.019313911,0.12860526,0.12768605,-0.043017235,0.9908813,0.025306594,-0.02571205,-0.002743857,-0.12896243,0.0405334,-1.5513195,1505.1898,976.83136,1505.1898,723.04407
2396,0.024274766,0.9988182,0.042106718,-0.991514,0.018673748,0.1286516,0.12771328,-0.044872385,0.99079543,0.02720476,-0.026309261,-0.003679512,-0.12900916,0.042472336,-1.551965,1505.1134,976.804,1505.1134,723.0217
2428,0.022386432,0.99889916,0.041221004,-0.9918148,0.017005531,0.1265468,0.1257065,-0.043716535,0.9911037,0.029042667,-0.027694786,-0.00430775,-0.12688701,0.041567054,-1.5536522,1505.055,976.8456,1505.055,723.0783
2462,0.023580104,0.9988234,0.04237554,-0.99198496,0.01811333,0.12505075,0.12413605,-0.044984605,0.99124485,0.030886024,-0.028493457,-0.005376997,-0.12537898,0.042723805,-1.5525386,1505.1404,976.8088,1505.1404,723.0118
2496,0.024862655,0.9987583,0.043168843,-0.9918027,0.0192295,0.12632322,0.12533626,-0.045955706,0.9910493,0.032857522,-0.029360102,-0.0068259942,-0.12666163,0.043531206,-1.5514103,1505.1404,976.8264,1505.1404,723.05426
2529,0.02529698,0.9988398,0.040979065,-0.99169755,0.019903962,0.12704268,0.1260796,-0.043852635,0.9910504,0.03342418,-0.029300837,-0.0076652346,-0.12738693,0.04132558,-1.5507284,1505.1045,976.81134,1505.1045,723.0657
2562,0.026425105,0.9988394,0.04026884,-0.9919021,0.02119308,0.12522435,0.12422558,-0.043251816,0.99131083,0.035339218,-0.029992802,-0.009226373,-0.12555397,0.040599488,-1.5494335,1505.073,976.814,1505.073,723.1036
2596,0.027434608,0.9988695,0.038819503,-0.9918557,0.022369035,0.12538621,0.12437609,-0.041943267,0.9913481,0.037383914,-0.031080255,-0.011235664,-0.1257171,0.039138302,-1.5482475,1505.1134,976.85376,1505.1134,723.1065
2629,0.027117908,0.99890184,0.038205314,-0.9913893,0.02197661,0.12909015,0.12810874,-0.041376997,0.9908966,0.037887547,-0.03174086,-0.012456867,-0.1294514,0.03853722,-1.5486325,1505.1672,976.8315,1505.1672,723.1099
2662,0.023680802,0.9991063,0.035011083,-0.9918543,0.01909577,0.12593746,0.12515631,-0.037708197,0.99142015,0.03967413,-0.032911703,-0.014823194,-0.12627275,0.0352994,-1.5515461,1505.0146,976.8043,1505.0146,723.1408
2695,0.02199468,0.99922645,0.032598875,-0.9927175,0.017965285,0.119118154,0.11844035,-0.034981444,0.9923447,0.041024115,-0.034073822,-0.017973773,-0.11940166,0.032838546,-1.5527012,1505.0103,976.8183,1505.0103,723.1571
2729,0.02352306,0.99915254,0.033773277,-0.9924183,0.01926142,0.12138664,0.12063326,-0.03637261,0.99203044,0.038646784,-0.034603536,-0.022177171,-0.121686734,0.034031454,-1.5513902,1505.2928,976.8144,1505.2928,723.107
2761,0.025041914,0.9992524,0.029454932,-0.9921595,0.021233743,0.12316128,0.12244376,-0.032308184,0.9919495,0.038850084,-0.036249623,-0.02730845,-0.12347479,0.02968526,-1.5493981,1505.0371,976.79675,1505.0371,723.1259
2796,0.026221644,0.9993037,0.026538158,-0.99232286,0.022810474,0.121551424,0.12086144,-0.029521706,0.9922301,0.039360605,-0.038266066,-0.03310347,-0.12185275,0.026739595,-1.5478134,1505.082,976.81696,1505.082,723.13666
2829,0.028783392,0.99924856,0.025953388,-0.9919856,0.025359282,0.12377917,0.12302801,-0.029308176,0.9919702,0.035357773,-0.039470777,-0.039614424,-0.124097444,0.026157508,-1.5452378,1505.1716,976.77484,1505.1716,723.1187
2862,0.030491361,0.9992676,0.023118073,-0.99137044,0.02728405,0.12821883,0.12749417,-0.02682815,0.9914762,0.03564898,-0.04225552,-0.04709485,-0.12857278,0.023312597,-1.5432817,1505.1268,976.82983,1505.1268,723.1043
2895,0.028172866,0.9994767,0.015894793,-0.99171287,0.025953012,0.1258253,0.12534693,-0.019307934,0.99192494,0.034851268,-0.0453533,-0.054232657,-0.1261597,0.016022818,-1.5446324,1504.9249,976.8652,1504.9249,723.05133
2930,0.023881117,0.99962646,0.013280392,-0.9921245,0.02206387,0.12329595,0.12295688,-0.016120246,0.9922809,0.035665095,-0.04913255,-0.06345851,-0.1236105,0.013382902,-1.548561,1505.0415,976.84924,1505.0415,723.06964
2963,0.021378346,0.9996613,0.014834523,-0.9913068,0.019268282,0.13015217,0.12982225,-0.017488007,0.99138296,0.03758515,-0.05323475,-0.075616345,-0.13052244,0.014962347,-1.5513616,1505.1898,976.7406,1505.1898,723.07935
2996,0.019736093,0.99968386,0.015578467,-0.98957324,0.017308274,0.14298655,0.1426717,-0.018238032,0.9896019,0.04003023,-0.057431065,-0.08991399,-0.14347832,0.015740855,-1.5533074,1505.2346,976.7215,1505.2346,723.08673
3030,0.015946902,0.9996955,0.01882273,-0.98879397,0.012972819,0.14872096,0.1484315,-0.020983448,0.98869985,0.039208718,-0.060484815,-0.10627141,-0.14927472,0.019035561,-1.5576773,1505.1089,976.7714,1505.1089,723.10486
