1400	2	201	1302
1400	1	201	1302
1801	1	170	1297
1801	2	170	1297
2201	1	100	1315
2201	2	100	1315
2601	1	125	1244
2601	2	125	1244
3001	1	28	1304
3001	2	28	1304
3402	2	793	981
3402	1	793	981
3803	1	751	1089
3803	2	751	1089
4203	2	793	1110
4203	1	793	1110
4603	2	813	1045
4603	1	813	1045
5003	1	807	1082
5003	2	807	1082
5403	2	810	1089
5403	1	810	1089
5804	1	755	1075
5804	2	755	1075
6204	2	855	1094
6204	1	855	1094
6603	1	730	1145
6603	2	730	1145
7004	1	748	1147
7004	2	748	1147
7404	1	779	1128
7404	2	779	1128
7804	1	748	1145
7804	2	748	1145
8205	2	838	1149
8205	1	838	1149
8605	2	903	1165
8605	1	903	1165
9005	1	824	1258
9005	2	824	1258
9405	1	869	1288
9405	2	869	1288
9806	2	1014	1350
9806	1	1014	1350
10206	1	945	1431
10206	2	945	1431
10606	1	1038	1548
10606	2	1038	1548
11007	1	1187	1786
11007	2	1187	1786
